i,j,head,kper,kstp
9,1,9.219047546386719,1,1
9,2,9.171980857849121,1,1
9,3,9.71466064453125,1,1
9,4,9.84496021270752,1,1
9,5,10.339371681213379,1,1
9,6,10.33777141571045,1,1
9,7,10.38995361328125,1,1
9,8,8.810598373413086,1,1
9,9,10.42022705078125,1,1
9,10,10.446694374084473,1,1
9,11,10.428779602050781,1,1
9,12,10.518182754516602,1,1
9,13,10.578313827514648,1,1
9,14,10.608306884765625,1,1
9,15,10.544476509094238,1,1
9,16,10.56535530090332,1,1
9,17,10.583934783935547,1,1
9,18,10.534135818481445,1,1
9,19,10.5022611618042,1,1
9,20,10.504507064819336,1,1
9,21,10.617222785949707,1,1
9,22,10.728865623474121,1,1
9,23,10.971284866333008,1,1
9,24,10.909799575805664,1,1
9,25,10.848660469055176,1,1
9,26,10.771257400512695,1,1
9,27,10.688774108886719,1,1
9,28,10.745245933532715,1,1
9,29,10.770398139953613,1,1
9,30,10.817192077636719,1,1
9,31,10.982035636901855,1,1
9,32,10.968626976013184,1,1
9,33,10.892862319946289,1,1
9,34,10.728931427001953,1,1
9,35,10.828553199768066,1,1
9,36,10.914671897888184,1,1
9,37,10.568097114562988,1,1
9,38,10.39641284942627,1,1
9,39,10.314574241638184,1,1
9,40,10.344976425170898,1,1
9,41,10.934682846069336,1,1
9,42,10.895110130310059,1,1
9,43,10.841147422790527,1,1
9,44,11.680758476257324,1,1
9,45,9.785634994506836,1,1
9,46,9.823512077331543,1,1
9,47,9.818801879882812,1,1
9,48,9.759339332580566,1,1
9,49,9.717399597167969,1,1
9,50,9.667152404785156,1,1
9,51,9.69295883178711,1,1
9,52,9.604782104492188,1,1
9,53,9.698742866516113,1,1
9,54,9.716193199157715,1,1
9,55,9.438835144042969,1,1
9,56,9.106866836547852,1,1
10,0,9.470149993896484,1,1
10,1,9.165212631225586,1,1
10,2,9.058624267578125,1,1
10,3,8.843196868896484,1,1
10,4,8.867938041687012,1,1
10,5,9.999832153320312,1,1
10,6,9.891603469848633,1,1
10,7,10.30711555480957,1,1
10,8,9.661969184875488,1,1
10,9,9.53837776184082,1,1
10,10,10.485966682434082,1,1
10,11,10.508881568908691,1,1
10,12,10.51651668548584,1,1
10,13,10.560456275939941,1,1
10,14,10.62686538696289,1,1
10,15,10.58525562286377,1,1
10,16,10.60274887084961,1,1
10,17,10.605973243713379,1,1
10,18,10.518426895141602,1,1
10,19,10.473051071166992,1,1
10,20,10.523505210876465,1,1
10,21,10.591076850891113,1,1
10,22,10.792356491088867,1,1
10,23,10.815942764282227,1,1
10,24,10.848867416381836,1,1
10,25,10.813369750976562,1,1
10,26,10.69783878326416,1,1
10,27,10.745577812194824,1,1
10,28,10.748200416564941,1,1
10,29,10.745670318603516,1,1
10,30,10.639078140258789,1,1
10,31,10.787178993225098,1,1
10,32,10.873985290527344,1,1
10,33,10.864005088806152,1,1
10,34,10.812024116516113,1,1
10,35,10.821782112121582,1,1
10,36,11.032317161560059,1,1
10,37,10.864944458007812,1,1
10,38,10.533599853515625,1,1
10,39,10.39523696899414,1,1
10,40,10.847620964050293,1,1
10,41,11.090601921081543,1,1
10,42,10.545538902282715,1,1
10,43,11.70746898651123,1,1
10,44,10.879790306091309,1,1
10,45,9.87452507019043,1,1
10,46,9.727964401245117,1,1
10,47,9.51284122467041,1,1
10,48,9.366458892822266,1,1
10,49,9.347628593444824,1,1
10,50,9.574851036071777,1,1
10,51,9.675246238708496,1,1
10,52,9.676939010620117,1,1
10,53,9.556983947753906,1,1
10,54,9.375865936279297,1,1
10,55,9.025728225708008,1,1
10,56,8.569411277770996,1,1
11,0,9.53844928741455,1,1
11,1,9.385441780090332,1,1
11,2,9.218262672424316,1,1
11,3,9.287823677062988,1,1
11,4,9.176153182983398,1,1
11,5,8.847576141357422,1,1
11,6,8.823473930358887,1,1
11,7,9.034107208251953,1,1
11,8,9.75247859954834,1,1
11,9,8.980541229248047,1,1
11,10,10.174490928649902,1,1
11,11,10.457697868347168,1,1
11,12,10.517702102661133,1,1
11,13,10.554779052734375,1,1
11,14,10.550212860107422,1,1
11,15,10.550104141235352,1,1
11,16,10.590150833129883,1,1
11,17,10.560307502746582,1,1
11,18,10.544027328491211,1,1
11,19,10.594510078430176,1,1
11,20,10.673113822937012,1,1
11,21,10.607050895690918,1,1
11,22,10.60335636138916,1,1
11,23,10.809965133666992,1,1
11,24,10.775896072387695,1,1
11,25,10.671116828918457,1,1
11,26,10.715526580810547,1,1
11,27,10.69247055053711,1,1
11,28,10.741189956665039,1,1
11,29,10.586935997009277,1,1
11,30,10.692545890808105,1,1
11,31,10.799521446228027,1,1
11,32,10.62585163116455,1,1
11,33,10.720413208007812,1,1
11,34,10.855790138244629,1,1
11,35,10.802556991577148,1,1
11,36,10.794382095336914,1,1
11,37,10.797172546386719,1,1
11,38,10.72978401184082,1,1
11,39,10.621631622314453,1,1
11,40,11.367718696594238,1,1
11,41,10.225342750549316,1,1
11,42,10.700745582580566,1,1
11,43,11.723883628845215,1,1
11,44,10.212271690368652,1,1
11,45,9.844840049743652,1,1
11,46,9.880881309509277,1,1
11,47,9.812129974365234,1,1
11,48,9.737048149108887,1,1
11,49,9.540329933166504,1,1
11,50,9.354265213012695,1,1
11,51,9.42139720916748,1,1
11,52,9.18883228302002,1,1
11,53,9.065841674804688,1,1
11,54,8.726409912109375,1,1
11,55,8.735940933227539,1,1
11,56,9.163803100585938,1,1
12,0,9.524637222290039,1,1
12,1,9.385416030883789,1,1
12,2,9.160649299621582,1,1
12,3,9.76899528503418,1,1
12,4,10.075820922851562,1,1
12,5,10.067878723144531,1,1
12,6,9.970550537109375,1,1
12,7,9.565155029296875,1,1
12,8,9.289483070373535,1,1
12,9,9.120614051818848,1,1
12,10,10.001815795898438,1,1
12,11,10.348919868469238,1,1
12,12,10.386774063110352,1,1
12,13,10.448980331420898,1,1
12,14,10.668987274169922,1,1
12,15,10.576574325561523,1,1
12,16,10.483922004699707,1,1
12,17,10.475184440612793,1,1
12,18,10.567938804626465,1,1
12,19,10.696944236755371,1,1
12,20,10.680399894714355,1,1
12,21,10.578507423400879,1,1
12,22,10.638164520263672,1,1
12,23,10.725857734680176,1,1
12,24,10.77115535736084,1,1
12,25,10.643178939819336,1,1
12,26,10.61991024017334,1,1
12,27,10.661526679992676,1,1
12,28,10.576775550842285,1,1
12,29,10.641450881958008,1,1
12,30,10.687841415405273,1,1
12,31,10.806554794311523,1,1
12,32,10.896405220031738,1,1
12,33,10.69399356842041,1,1
12,34,10.759297370910645,1,1
12,35,10.79883861541748,1,1
12,36,10.880172729492188,1,1
12,37,11.104454040527344,1,1
12,38,11.167945861816406,1,1
12,39,11.505979537963867,1,1
12,40,10.73597240447998,1,1
12,41,10.20225715637207,1,1
12,42,10.766027450561523,1,1
12,43,11.089459419250488,1,1
12,44,9.870742797851562,1,1
12,45,9.754875183105469,1,1
12,46,9.764420509338379,1,1
12,47,9.749289512634277,1,1
12,48,9.308187484741211,1,1
12,49,8.819581985473633,1,1
12,50,8.88364315032959,1,1
12,51,9.204900741577148,1,1
12,52,10.015645027160645,1,1
12,53,9.967804908752441,1,1
12,54,9.7081937789917,1,1
