kper,kstp,index,AWq,weight,std
2,1,"(np.int64(0), np.int64(10), np.int64(51))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(11), np.int64(42))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(11), np.int64(48))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(11), np.int64(49))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(12), np.int64(9))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(12), np.int64(42))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(12), np.int64(46))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(12), np.int64(47))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(13), np.int64(10))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(13), np.int64(42))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(13), np.int64(44))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(13), np.int64(45))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(13), np.int64(52))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(13), np.int64(53))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(13), np.int64(54))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(13), np.int64(55))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(14), np.int64(10))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(14), np.int64(11))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(14), np.int64(41))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(14), np.int64(42))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(14), np.int64(43))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(14), np.int64(50))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(14), np.int64(51))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(15), np.int64(12))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(15), np.int64(13))",5.76,0.0,3.0
