i,j,head,kper,kstp
10,41,13.876648991979103,1,1
10,42,13.876204730923666,1,1
10,43,13.87600213197055,1,1
10,44,13.875844585772283,1,1
10,45,13.875675914388191,1,1
10,46,13.875499370870696,1,1
10,47,13.875319052772186,1,1
10,48,13.875128151020133,1,1
10,49,13.874944152217545,1,1
10,50,13.874722909188531,1,1
10,51,13.874589642322778,1,1
10,52,13.874548384594148,1,1
10,53,13.874480641351523,1,1
10,54,13.87443928749457,1,1
10,55,13.87440650768481,1,1
10,56,1e+30,1,1
11,0,1e+30,1,1
11,1,1e+30,1,1
11,2,1e+30,1,1
11,3,1e+30,1,1
11,4,1e+30,1,1
11,5,1e+30,1,1
11,6,1e+30,1,1
11,7,1e+30,1,1
11,8,1e+30,1,1
11,9,1e+30,1,1
11,10,13.88219668626746,1,1
11,11,13.882266338592782,1,1
11,12,13.882310913718928,1,1
11,13,13.882330901781932,1,1
11,14,13.882328493445137,1,1
11,15,13.882305917181974,1,1
11,16,13.882265253016612,1,1
11,17,13.882208273864217,1,1
11,18,13.882136021183443,1,1
11,19,13.882049099326741,1,1
11,20,13.881947889182058,1,1
11,21,13.88183194634484,1,1
11,22,13.881700737031325,1,1
11,23,13.881554792066497,1,1
11,24,13.881394187153044,1,1
11,25,13.881217719558526,1,1
11,26,13.88102493290284,1,1
11,27,13.8808165791472,1,1
11,28,13.880593038733961,1,1
11,29,13.880353784274302,1,1
11,30,13.880099439796476,1,1
11,31,13.879832110805705,1,1
11,32,13.879550251246874,1,1
11,33,13.879253080123547,1,1
11,34,13.878940097189414,1,1
11,35,13.87861168134712,1,1
11,36,13.878268686733525,1,1
11,37,13.877911439851466,1,1
11,38,13.87754058862838,1,1
11,39,13.87715511788622,1,1
11,40,13.876762648078458,1,1
11,41,13.876345123499881,1,1
11,42,13.875892990118283,1,1
11,43,13.875738904392186,1,1
11,44,13.875578144455119,1,1
11,45,13.875402418841166,1,1
11,46,13.875216193861736,1,1
11,47,13.875032011955938,1,1
11,48,13.87481068297142,1,1
11,49,13.874669154414766,1,1
11,50,13.874620019137774,1,1
11,51,13.874532692144676,1,1
11,52,13.874459597642096,1,1
11,53,13.874397428459885,1,1
11,54,13.874355657457075,1,1
11,55,13.874332018277554,1,1
