kper,kstp,time,k,i,j,AWq
4,46,100.0,0,35,8,-9.747938623446885
4,46,100.0,0,35,9,-10.159063651040242
4,46,100.0,0,35,10,-10.683514713248996
4,46,100.0,0,35,11,-11.343202131770681
4,46,100.0,0,35,12,-12.157512088862973
4,46,100.0,0,35,13,-13.14256375638115
4,46,100.0,0,35,14,-14.310081250837925
4,46,100.0,0,35,15,-15.632311706809332
4,46,100.0,0,35,16,-17.03751724052779
4,46,100.0,0,35,19,-35.578826862528786
4,46,100.0,0,35,20,-45.56098358627298
4,46,100.0,0,35,21,-33.94078596704469
4,46,100.0,0,35,23,-100.36712288372951
4,46,100.0,0,35,24,-86.63175226886392
4,46,100.0,0,35,25,-30.38227394284968
4,46,100.0,0,36,0,-8.450036830441718
4,46,100.0,0,36,1,-8.449430685398056
4,46,100.0,0,36,2,-8.461666842770342
4,46,100.0,0,36,3,-8.494484883617133
4,46,100.0,0,36,4,-8.553935360141054
4,46,100.0,0,36,5,-8.64559325361597
4,46,100.0,0,36,6,-8.776830923283796
4,46,100.0,0,36,7,-8.957932949801034
4,46,100.0,0,36,8,-9.203272065528836
4,46,100.0,0,36,9,-9.530870663899918
4,46,100.0,0,36,10,-9.95934171785916
4,46,100.0,0,36,11,-10.508246523971025
4,46,100.0,0,36,12,-11.186006765540697
4,46,100.0,0,36,13,-11.992970463470328
4,46,100.0,0,36,14,-12.956588384643624
4,46,100.0,0,36,15,-14.011699750001299
4,46,100.0,0,36,16,-15.012171699078408
4,46,100.0,0,36,17,-15.82378397037553
4,46,100.0,0,36,18,-73.13021050785562
4,46,100.0,0,36,22,-37.11052819273709
4,46,100.0,0,36,23,-16.756693107726505
4,46,100.0,0,36,26,-17.75313267686238
4,46,100.0,0,36,27,-17.48155164403886
4,46,100.0,0,37,0,-8.284422967137516
4,46,100.0,0,37,1,-8.253778231766773
4,46,100.0,0,37,2,-8.234181215804597
4,46,100.0,0,37,3,-8.23259200698476
4,46,100.0,0,37,4,-8.252828247529692
4,46,100.0,0,37,5,-8.298613985308634
4,46,100.0,0,37,6,-8.375565628837649
4,46,100.0,0,37,7,-8.492469939450757
4,46,100.0,0,37,8,-8.664421446278197
4,46,100.0,0,37,9,-8.913258245319867
4,46,100.0,0,37,10,-9.256261415071549
4,46,100.0,0,37,11,-9.723911555913219
4,46,100.0,0,37,12,-10.311069605613511
4,46,100.0,0,37,13,-10.966696631339119
4,46,100.0,0,37,14,-11.800096323751177
4,46,100.0,0,37,15,-12.758085148414239
4,46,100.0,0,37,16,-13.799695289279725
4,46,100.0,0,37,17,-14.79290621736709
4,46,100.0,0,37,28,-16.539986234490243
4,46,100.0,0,37,29,-16.394978260884272
4,46,100.0,0,37,30,-16.568875210348324
4,46,100.0,0,37,31,-17.01575428805313
4,46,100.0,0,38,0,-8.16872139000725
4,46,100.0,0,38,1,-8.064663845017321
4,46,100.0,0,38,2,-8.005597611005669
4,46,100.0,0,38,3,-7.967056785751652
4,46,100.0,0,38,4,-7.946467733295435
4,46,100.0,0,38,5,-7.944840882174958
4,46,100.0,0,38,6,-7.965048847391131
4,46,100.0,0,38,7,-8.011859515592391
4,46,100.0,0,38,8,-8.101688782775
4,46,100.0,0,38,9,-8.27283267820178
4,46,100.0,0,38,10,-8.487957309822605
4,46,100.0,0,38,11,-8.871705771835536
4,46,100.0,0,38,12,-9.414164482455249
4,46,100.0,0,38,13,-10.095683703340114
