kper,kstp,k,i,j,SPq
2,31,0,34,31,-17.413288639314374
2,31,0,34,33,-10.065031843688303
2,31,0,35,33,-14.323754643603706
2,31,0,36,32,-17.627089720753816
2,31,0,36,33,-19.84401995370274
2,31,0,37,32,-25.429257804644863
2,32,0,32,30,-55.55027271118877
2,32,0,33,30,-51.03031389637158
2,32,0,33,31,-5.124558127296382
2,32,0,33,32,-14.752461356676918
2,32,0,33,33,-7.0201273579376675
2,32,0,34,30,-13.047835888098916
2,32,0,34,31,-17.807233716584847
2,32,0,34,33,-10.514059461411762
2,32,0,35,33,-14.787018297193981
2,32,0,36,32,-18.08308959718636
2,32,0,36,33,-20.321487771802936
2,32,0,37,32,-25.920985001504846
2,33,0,32,30,-55.71654065885173
2,33,0,33,30,-51.165568031880525
2,33,0,33,31,-5.263474222482728
2,33,0,33,32,-14.929672973588595
2,33,0,33,33,-7.248247058171046
2,33,0,34,30,-13.221575158383644
2,33,0,34,31,-17.983108973644903
2,33,0,34,33,-10.745688777228793
2,33,0,35,33,-15.032781710541826
2,33,0,36,32,-18.322022667684678
2,33,0,36,33,-20.583474645393608
2,33,0,37,32,-26.197937533800655
2,34,0,32,30,-56.14425090726684
2,34,0,33,30,-51.566268320016206
2,34,0,33,31,-5.665945647204239
2,34,0,33,32,-15.369498839657695
2,34,0,33,33,-7.740520012767888
2,34,0,34,30,-13.660252204146104
2,34,0,34,31,-18.421140870563136
2,34,0,34,33,-11.240851874618329
2,34,0,35,33,-15.542422781878031
2,34,0,36,32,-18.82519128764534
2,34,0,36,33,-21.11117801797991
2,34,0,37,32,-26.74235050189168
2,35,0,32,30,-56.624781519691055
2,35,0,33,30,-52.018356623696604
2,35,0,33,31,-6.118379509425608
2,35,0,33,32,-15.859473179024576
2,35,0,33,33,-8.284684938398414
2,35,0,34,30,-14.15120397222961
2,35,0,34,31,-18.908908437266177
2,35,0,34,33,-11.787223396728905
2,35,0,35,33,-16.103742385498208
2,35,0,36,32,-19.380426244993373
2,35,0,36,33,-21.692319316920816
2,35,0,37,32,-27.342657875331156
2,36,0,32,30,-56.84029778142792
2,36,0,33,30,-52.20584640967138
2,36,0,33,31,-6.305328193160335
2,36,0,33,32,-16.08320258607978
2,36,0,33,33,-8.564278526433782
2,36,0,34,30,-14.376609995339322
2,36,0,34,31,-19.128794342522383
2,36,0,34,33,-12.066342885072686
2,36,0,35,33,-16.397693941149896
2,36,0,36,32,-19.668477597435185
2,36,0,36,33,-22.00764419499876
2,36,0,37,32,-27.677909817965315
2,37,0,32,30,-56.9801783356171
2,37,0,33,30,-52.31838983486887
2,37,0,33,31,-6.416365057026155
2,37,0,33,32,-16.22934133512456
2,37,0,33,33,-8.767242179821437
2,37,0,34,30,-14.524532100809438
2,37,0,34,31,-19.269514398833167
2,37,0,34,33,-12.266641015238633
2,37,0,35,33,-16.61244301134309
2,37,0,36,32,-19.877238721360982
2,37,0,36,33,-22.245015006790368
2,37,0,37,32,-27.934704118165314
