oname,usecol,obs_name,truth,simulated,residual,nrmse_pct
arr-awq,awq,ob1576,-6.9,-1.414577072234124,5.485422927765876,0.0
arr-awq,awq,ob1577,-6.9,-0.7455074275518995,6.154492572448101,0.0
arr-awq,awq,ob1578,-6.9,-1.0988403558732927,5.801159644126708,0.0
arr-awq,awq,ob1579,-6.9,-0.7337188252841002,6.1662811747159,0.0
arr-awq,awq,ob1580,-6.9,-0.818328857421875,6.081671142578125,0.0
arr-awq,awq,ob1581,-6.9,-0.9090786427259444,5.990921357274056,0.0
arr-awq,awq,ob1582,-6.9,-0.5335163146742161,6.366483685325784,0.0
arr-awq,awq,ob1583,-6.9,-0.7206403968747281,6.179359603125272,0.0
arr-awq,awq,ob1894,-6.9,-1.448157822133339,5.451842177866661,0.0
arr-awq,awq,ob1895,-6.9,-0.5525877508334816,6.347412249166519,0.0
arr-awq,awq,ob1896,-6.9,-0.5822855773087667,6.317714422691234,0.0
arr-awq,awq,ob1897,-6.9,-0.4909228461477823,6.409077153852218,0.0
arr-awq,awq,ob1898,-6.9,-0.6760102008398121,6.223989799160188,0.0
arr-awq,awq,ob1899,-6.9,-0.6279157212632674,6.272084278736733,0.0
arr-awq,awq,ob1900,-6.9,-0.8683923412651495,6.031607658734851,0.0
arr-awq,awq,ob1901,-6.9,-0.7616105066749412,6.138389493325059,0.0
arr-awq,awq,ob1902,-6.9,-1.1707165241241455,5.729283475875855,0.0
arr-awq,awq,ob1903,-6.9,-0.9281448273383716,5.971855172661629,0.0
arr-awq,awq,ob1904,-6.9,-1.385689514601836,5.514310485398164,0.0
arr-awq,awq,ob1905,-6.9,-0.8240200649379403,6.07597993506206,0.0
arr-awq,awq,ob1906,-6.9,-0.7031678042258135,6.196832195774187,0.0
arr-awq,awq,ob1907,-6.9,-1.164587179825082,5.735412820174918,0.0
arr-awq,awq,ob1908,-6.9,-0.577985500016787,6.322014499983213,0.0
arr-awq,awq,ob1909,-6.9,-0.6904151083435863,6.209584891656414,0.0
arr-awq,awq,ob1910,-6.9,-0.9714211039207044,5.928578896079296,0.0
arr-awq,awq,ob1911,-6.9,-0.4951004370452219,6.404899562954778,0.0
arr-awq,awq,ob1912,-6.9,-0.8796501757172946,6.020349824282706,0.0
arr-awq,awq,ob1913,-6.9,-0.3919041156768798,6.5080958843231205,0.0
arr-awq,awq,ob1914,-6.9,-0.5968821981554413,6.303117801844559,0.0
arr-awq,awq,ob1915,-6.9,-1.4904233872657304,5.40957661273427,0.0
arr-awq,awq,ob1916,-6.9,-0.9786868691444396,5.921313130855561,0.0
arr-awq,awq,ob1917,-6.9,-1.583549833503639,5.316450166496361,0.0
arr-awq,awq,ob1918,-6.9,-0.8495195503444676,6.050480449655533,0.0
arr-awq,awq,ob1919,-6.9,-1.2260156839296883,5.673984316070312,0.0
arr-awq,awq,ob1920,-6.9,-0.8227355739686998,6.0772644260313005,0.0
arr-awq,awq,ob1921,-6.9,-0.9135494719092776,5.986450528090723,0.0
arr-awq,awq,ob1922,-6.9,-1.0648413162822834,5.835158683717717,0.0
arr-awq,awq,ob1923,-6.9,-0.6272047968599564,6.272795203140044,0.0
arr-awq,awq,ob1924,-6.9,-0.8127168748760595,6.087283125123941,0.0
arr-spq,spq,ob4293,-3.0693985429253026,1.8108804793009961e-07,3.0693987240133507,98.3263377359844
arr-spq,spq,ob4294,-3.0693985429253026,-0.004437629763947,3.0649609131613555,98.1841751406761
arr-spq,spq,ob4295,-3.0693985429253026,-0.010424069835866,3.0589744730894366,97.99240314189906
arr-spq,spq,ob4296,-3.0693985429253026,-0.0002822384402894,3.0691163044850134,98.31729059665079
arr-spq,spq,ob4297,-3.0693985429253026,-0.0119404297912524,3.05745811313405,97.94382746486623
arr-spq,spq,ob4298,-3.0693985429253026,-0.0280377854654909,3.041360757459812,97.42815838013688
arr-spq,spq,ob4299,-3.0693985429253026,-0.0035504683919862,3.0658480745333163,98.2125948204014
arr-spq,spq,ob4300,-3.0693985429253026,-0.007583862241447,3.0618146806838555,98.08338747996642
arr-spq,spq,ob4301,-3.0693985429253026,-0.0110704129948969,3.0583281299304055,97.97169792844763
arr-spq,spq,ob4302,-3.0693985429253026,-0.0176207563743175,3.051777786550985,97.76186162716404
arr-spq,spq,ob4303,-3.0693985429253026,-0.025413045221245,3.0439854977040577,97.51224035153598
arr-spq,spq,ob4304,-3.0693985429253026,-0.0268583234797709,3.0425402194455318,97.46594173381045
arr-spq,spq,ob4305,-3.0693985429253026,-0.0347560735813949,3.0346424693439076,97.21294207046554
arr-spq,spq,ob4306,-3.0693985429253026,-0.048715145501303,3.0206833974239995,96.76577161674126
arr-spq,spq,ob4307,-3.0693985429253026,-0.0548704706182948,3.014528072307008,96.5685894873577
