time,spring,awanui,poukawa,pk4,kper,kstp,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff
67.0,8.572015134279463,9.78979461085402,8.503870206104509,8.572015134279463,4,13,-0.3943398142794621,-0.3943398142794621,-0.3943398142794621
68.0,8.570798141777422,9.789606808802636,8.502397497381386,8.570798141777422,4,14,-0.3961228217774213,-0.3961228217774213,-0.3961228217774213
69.0,8.569442974588092,9.789418888803183,8.500766959416307,8.569442974588092,4,15,-0.4002438445880916,-0.4002438445880916,-0.4002438445880916
70.0,8.567978160622149,9.789230825516286,8.499005507090892,8.567978160622149,4,16,-0.40394569062214813,-0.40394569062214813,-0.40394569062214813
71.0,8.566437006316407,9.789042591693146,8.49714736132987,8.566437006316407,4,17,-0.4070712063164077,-0.4070712063164077,-0.4070712063164077
72.0,8.564813108548426,9.788854158081197,8.495185830968875,8.564813108548426,4,18,-0.4103996885484271,-0.4103996885484271,-0.4103996885484271
73.0,8.563127641284002,9.788665493357552,8.493143731544782,8.563127641284002,4,19,-0.4133570812840013,-0.4133570812840013,-0.4133570812840013
74.0,8.561384097626549,9.7884765640882,8.49102585823094,8.561384097626549,4,20,-0.41628019762654844,-0.41628019762654844,-0.41628019762654844
75.0,8.559646851180673,9.78828733476485,8.488902775968313,8.559646851180673,4,21,-0.41787629118067393,-0.41787629118067393,-0.41787629118067393
76.0,8.55791667662267,9.788097767899995,8.486779243988979,8.55791667662267,4,22,-0.41938420662267006,-0.41938420662267006,-0.41938420662267006
77.0,8.556203144869023,9.787907824173544,8.48466884266968,8.556203144869023,4,23,-0.42062305486902396,-0.42062305486902396,-0.42062305486902396
78.0,8.554516009345926,9.787717462623613,8.482585198299102,8.554516009345926,4,24,-0.4215787793459267,-0.4215787793459267,-0.4215787793459267
79.0,8.552864117468026,9.787526640874917,8.480540830373062,8.552864117468026,4,25,-0.42226021746802544,-0.42226021746802544,-0.42226021746802544
80.0,8.551241547162762,9.787335315385835,8.478532150463122,8.551241547162762,4,26,-0.4229709871627616,-0.4229709871627616,-0.4229709871627616
81.0,8.549656262890243,9.787143441711779,8.476569731259092,8.549656262890243,4,27,-0.4234333228902436,-0.4234333228902436,-0.4234333228902436
82.0,8.54809183415467,9.786950974760982,8.474637771581953,8.54809183415467,4,28,-0.4241546041546709,-0.4241546041546709,-0.4241546041546709
83.0,8.546520039302248,9.786757869015263,8.47270656304465,8.546520039302248,4,29,-0.4254161393022482,-0.4254161393022482,-0.4254161393022482
84.0,8.544919384181217,9.78656407870134,8.470752158134571,8.544919384181217,4,30,-0.4271250141812164,-0.4271250141812164,-0.4271250141812164
85.0,8.543355891236184,9.786369557979357,8.468844210920057,8.543355891236184,4,31,-0.4274662812361836,-0.4274662812361836,-0.4274662812361836
86.0,8.541812318445372,9.78617426112441,8.466965843563518,8.541812318445372,4,32,-0.428089378445371,-0.428089378445371,-0.428089378445371
87.0,8.540247880418592,9.785978142664801,8.465073582503493,8.540247880418592,4,33,-0.4295249404185917,-0.4295249404185917,-0.4295249404185917
88.0,8.538662260118453,9.785781157484177,8.463165599770255,8.538662260118453,4,34,-0.4309869401184532,-0.4309869401184532,-0.4309869401184532
89.0,8.537063700605339,9.785583260901248,8.46124955293755,8.537063700605339,4,35,-0.4322931406053385,-0.4322931406053385,-0.4322931406053385
90.0,8.535463691357759,9.785384408741281,8.459337207001282,8.535463691357759,4,36,-0.43335979135775915,-0.43335979135775915,-0.43335979135775915
91.0,8.533885228600766,9.785184557419745,8.457453392391926,8.533885228600766,4,37,-0.4339241886007663,-0.4339241886007663,-0.4339241886007663
92.0,8.532333535890078,9.784983664037412,8.455604804275966,8.532333535890078,4,38,-0.43432487589007884,-0.43432487589007884,-0.43432487589007884
93.0,8.530836997685011,9.784781686506774,8.453823162224413,8.530836997685011,4,39,-0.4340664376850114,-0.4340664376850114,-0.4340664376850114
94.0,8.529398159396735,9.784578583700528,8.452113375585373,8.529398159396735,4,40,-0.4336514093967345,-0.4336514093967345,-0.4336514093967345
95.0,8.527996923606704,9.784374315595942,8.450455566959775,8.527996923606704,4,41,-0.43355969360670343,-0.43355969360670343,-0.43355969360670343
96.0,8.526621198980887,9.784168843401941,8.44883716420005,8.526621198980887,4,42,-0.43366015898088683,-0.43366015898088683,-0.43366015898088683
97.0,8.52527400422248,9.783962129672584,8.447261200874765,8.52527400422248,4,43,-0.4336558242224804,-0.4336558242224804,-0.4336558242224804
98.0,8.523940889135094,9.78375413839472,8.445711982674377,8.523940889135094,4,44,-0.4339121791350937,-0.4339121791350937,-0.4339121791350937
99.0,8.522608590534592,9.783544835042566,8.44417438993419,8.522608590534592,4,45,-0.4344293005345925,-0.4344293005345925,-0.4344293005345925
100.0,8.521329774088082,9.783334186651649,8.442703978929822,8.521329774088082,4,46,-0.4338351240880822,-0.4338351240880822,-0.4338351240880822
101.0,8.520123918457918,9.783122161921169,8.441323145276773,8.520123918457918,4,47,-0.43274323845791685,-0.43274323845791685,-0.43274323845791685
102.0,8.518969848974379,9.782908731317063,8.4400109896901,8.518969848974379,4,48,-0.4319849989743787,-0.4319849989743787,-0.4319849989743787
103.0,8.517891603458295,9.782693867193418,8.43879400774791,8.517891603458295,4,49,-0.4306448534582952,-0.4306448534582952,-0.4306448534582952
104.0,8.516887797529925,9.782477543922363,8.437672205109516,8.516887797529925,4,50,-0.4292234575299254,-0.4292234575299254,-0.4292234575299254
105.0,8.515934722850579,9.782259738006493,8.436621062816632,8.515934722850579,4,51,-0.4281998728505787,-0.4281998728505787,-0.4281998728505787
106.0,8.514997154962883,9.782040428144027,8.435602239974399,8.514997154962883,4,52,-0.4278607949628821,-0.4278607949628821,-0.4278607949628821
