kper,kstp,k,i,j,AWq
2,3,0,11,42,-14.80834201571499
2,3,0,11,48,-14.804145577957962
2,3,0,11,49,-14.80369380384056
2,3,0,12,9,-14.816702358330673
2,3,0,12,42,-14.80810182148982
2,3,0,12,46,-14.805050943797648
2,3,0,12,47,-14.804508619173106
2,3,0,13,10,-14.816926017210282
2,3,0,13,42,-14.807911614970608
2,3,0,13,44,-14.806208525367113
2,3,0,13,45,-14.80556320452942
2,3,0,13,52,-14.802960127980988
2,3,0,13,53,-14.802784830260753
2,3,0,13,54,-14.802698584621963
2,3,0,13,55,-14.802662388444947
2,3,0,14,10,-14.816780917191972
2,3,0,14,11,-14.817044033615709
2,3,0,14,41,-14.80919422304613
2,3,0,14,42,-14.807847844277049
2,3,0,14,43,-14.806970645643917
2,3,0,14,50,-14.803611208481387
2,3,0,14,51,-14.80342277929767
2,3,0,15,12,-14.81722479255027
2,3,0,15,13,-14.817532378773771
2,3,0,15,41,-14.809287754025476
2,3,0,15,48,-14.804431630406137
2,3,0,15,49,-14.804163819028131
2,3,0,16,14,-14.817733718635196
2,3,0,16,15,-14.81803130922465
2,3,0,16,16,-14.81842317498438
2,3,0,16,17,-14.81891021743717
2,3,0,16,41,-14.809468307318387
2,3,0,16,46,-14.805483340063077
2,3,0,16,47,-14.805094319083034
2,3,0,17,18,-14.81934561574655
2,3,0,17,41,-14.809717241196411
2,3,0,17,42,-14.808417188267525
2,3,0,17,43,-14.807525614601742
2,3,0,17,44,-14.806827021315774
2,3,0,17,45,-14.806303366389342
2,3,0,18,19,-14.819808036799424
2,3,0,18,20,-14.82029998653202
2,3,0,18,40,-14.81182891190349
2,3,0,18,42,-14.808927920864056
2,3,0,19,21,-14.821024765238533
2,3,0,19,40,-14.812388181619932
2,3,0,19,41,-14.810688150973268
2,3,0,20,22,-14.821863008935573
2,3,0,20,39,-14.815314788387276
2,3,0,20,41,-14.811310346234558
2,3,0,21,23,-14.822866966102238
2,3,0,21,36,-14.82202368231903
2,3,0,21,37,-14.82047905195173
2,3,0,21,38,-14.818729957561587
2,3,0,21,39,-14.81674217532811
2,3,0,21,40,-14.814599161137949
2,3,0,21,41,-14.811844877463127
2,3,0,22,24,-14.824079078480768
2,3,0,22,35,-14.825153202917503
2,3,0,23,25,-14.825532661315803
2,3,0,23,26,-14.826280960243901
2,3,0,23,34,-14.828125600917708
2,3,0,24,27,-14.828244768882163
2,3,0,24,28,-14.829028308667816
2,3,0,24,33,-14.830827316477313
2,3,0,25,29,-14.831529540822793
2,3,0,25,33,-14.833505649396873
2,3,0,26,29,-14.833660598601236
2,3,0,26,32,-14.83607375757828
2,3,0,27,30,-14.837324125936854
2,3,0,27,31,-14.838352478111696
2,3,0,27,32,-14.839313288391248
2,3,0,27,33,-14.840387915932258
2,3,0,28,32,-14.843401595097674
2,3,0,28,33,-14.844892356756038
2,3,0,29,31,-14.845969458177347
2,3,0,30,31,-14.850242756603691
2,3,0,31,31,-14.854807396709443
2,3,0,32,30,-14.855479345652201
2,3,0,33,27,-14.846714259870915
2,3,0,33,28,-14.851408674592706
2,3,0,33,29,-14.855961659729504
2,3,0,34,25,-14.838314158366682
2,3,0,34,26,-14.843864185271068
2,3,0,35,22,-14.82270305305412
2,3,0,35,23,-14.827590308277633
2,3,0,35,24,-14.833195699976029
2,3,0,36,14,-14.80052914048745
2,3,0,36,15,-14.801591854404354
2,3,0,36,16,-14.80293649600141
2,3,0,36,17,-14.804564767919125
2,3,0,36,18,-14.806526136127738
2,3,0,36,19,-14.809029886104588
2,3,0,36,20,-14.812159993470916
2,3,0,36,21,-14.816057785142739
