kper,kstp,k,i,j,SPq
2,49,0,35,33,-15.433847283037608
2,49,0,36,32,-18.275119491914552
2,49,0,36,33,-21.107929917875367
2,49,0,37,32,-26.430417182079736
2,50,0,32,30,-55.215883810606215
2,50,0,33,30,-50.35089661569066
2,50,0,33,31,-4.450891178262509
2,50,0,33,32,-14.500178217246344
2,50,0,33,33,-7.626466435999987
2,50,0,34,30,-12.405396421916862
2,50,0,34,31,-17.22981869080286
2,50,0,34,33,-11.02065969652358
2,50,0,35,33,-15.350828445159209
2,50,0,36,32,-18.17734356073845
2,50,0,36,33,-21.04153129909639
2,50,0,37,32,-26.354978485272795
2,51,0,32,30,-55.18101262164862
2,51,0,33,30,-50.30140864494933
2,51,0,33,31,-4.3904464185358165
2,51,0,33,32,-14.441167206898399
2,51,0,33,33,-7.593215683702169
2,51,0,34,30,-12.335062366822285
2,51,0,34,31,-17.16088367825921
2,51,0,34,33,-10.990039724265444
2,51,0,35,33,-15.325557109876627
2,51,0,36,32,-18.136476646970323
2,51,0,36,33,-21.031336900727524
2,51,0,37,32,-26.3345147000864
2,52,0,32,30,-55.23220987328034
2,52,0,33,30,-50.33676009158364
2,52,0,33,31,-4.413722457372046
2,52,0,33,32,-14.465507773129616
2,52,0,33,33,-7.641171088083524
2,52,0,34,30,-12.34838540209455
2,52,0,34,31,-17.176026478171593
2,52,0,34,33,-11.042070766607026
2,52,0,35,33,-15.382850753156504
2,52,0,36,32,-18.17759764368509
2,52,0,36,33,-21.102404534187258
2,52,0,37,32,-26.39502066345301
3,1,0,32,30,-151.9334042213776
3,1,0,33,30,-122.71461989542479
3,1,0,33,31,-61.711319895088536
3,1,0,33,32,-67.46384898865199
3,1,0,33,33,-62.55272552986207
3,1,0,34,30,-79.94590621612406
3,1,0,34,31,-68.2893624160281
3,1,0,34,33,-55.298915081147925
3,1,0,35,33,-57.33977303974825
3,1,0,36,32,-68.15708102613644
3,1,0,36,33,-65.00912276526469
3,1,0,37,32,-85.75304525623733
4,1,0,32,30,-154.22792249141207
4,1,0,33,30,-124.9785701943041
4,1,0,33,31,-63.96698671284548
4,1,0,33,32,-69.72903827977132
4,1,0,33,33,-64.81852793273629
4,1,0,34,30,-82.22608528712033
4,1,0,34,31,-70.57069237066821
4,1,0,34,33,-57.59195113025271
4,1,0,35,33,-59.64112495707252
4,1,0,36,32,-70.45692587200642
4,1,0,36,33,-67.31197922570482
4,1,0,37,32,-88.05351413519509
4,2,0,32,30,-154.4126177206889
4,2,0,33,30,-125.13134106255211
4,2,0,33,31,-64.10991156520845
4,2,0,33,32,-69.8878767196386
4,2,0,33,33,-64.98562997963234
4,2,0,34,30,-82.39975445373841
4,2,0,34,31,-70.739742457381
4,2,0,34,33,-57.773218943077495
4,2,0,35,33,-59.8316616364624
4,2,0,36,32,-70.64371218600093
4,2,0,36,33,-67.50578513499909
4,2,0,37,32,-88.24263956609127
4,3,0,32,30,-154.58668103184436
4,3,0,33,30,-125.27548273117668
4,3,0,33,31,-64.24259114488348
4,3,0,33,32,-70.03801826962547
4,3,0,33,33,-65.14985538684368
4,3,0,34,30,-82.56473335036469
4,3,0,34,31,-70.89560314621428
4,3,0,34,33,-57.94292770128254
4,3,0,35,33,-60.01060631775658
4,3,0,36,32,-70.81659097344607
4,3,0,36,33,-67.68969085968479
4,3,0,37,32,-88.41973702793132
4,4,0,32,30,-154.76352236388016
4,4,0,33,30,-125.42525245633806
4,4,0,33,31,-64.37959329755665
4,4,0,33,32,-70.19213302100934
4,4,0,33,33,-65.32216258433061
4,4,0,34,30,-82.73330291174409
4,4,0,34,31,-71.05196126049293
4,4,0,34,33,-58.11511826998219
4,4,0,35,33,-60.19145788731316
4,4,0,36,32,-70.98920694944331
4,4,0,36,33,-67.87693230854131
4,4,0,37,32,-88.59821222803828
4,5,0,32,30,-155.2471744660262
4,5,0,33,30,-125.88131321915239
4,5,0,33,31,-64.82120955804487
4,5,0,33,32,-70.65154222924718
4,5,0,33,33,-65.80295895805398
4,5,0,34,30,-83.20766475944868
4,5,0,34,31,-71.51201090365953
4,5,0,34,33,-58.59401598894931
4,5,0,35,33,-60.678864683112806
4,5,0,36,32,-71.46620964161264
4,5,0,36,33,-68.37198264835934
4,5,0,37,32,-89.08258884344696
4,6,0,32,30,-155.73394753904506
4,6,0,33,30,-126.33927475703274
4,6,0,33,31,-65.26317243022754
4,6,0,33,32,-71.11260089833672
4,6,0,33,33,-66.28856478437729
4,6,0,34,30,-83.68392207309705
4,6,0,34,31,-71.9720339326501
4,6,0,34,33,-59.075920591077534
4,6,0,35,33,-61.169126246802534
4,6,0,36,32,-71.94385702487273
4,6,0,36,33,-68.87101912190167
4,6,0,37,32,-89.56915119945154
4,7,0,32,30,-156.12905566215136
4,7,0,33,30,-126.70510263913127
4,7,0,33,31,-65.61175650476582
4,7,0,33,32,-71.48123987817962
4,7,0,33,33,-66.68477553190075
4,7,0,34,30,-84.06743459427526
4,7,0,34,31,-72.33756362270788
4,7,0,34,33,-59.466098219649325
4,7,0,35,33,-61.56731269901434
4,7,0,36,32,-72.32725946799349
