kper,kstp,k,i,j,PWq
2,6,0,29,37,-33.13861570110396
2,6,0,30,37,-14.5837678009309
2,6,0,31,37,4.265235308854017
2,6,0,32,36,-4.198818669350089
2,6,0,33,36,0.2837719939136605
2,6,0,34,37,-8.817188070181714
2,6,0,35,37,-5.20441187643155
2,6,0,36,37,-16.63069405876479
2,6,0,37,37,-6.977144325968652
2,6,0,38,37,-1.2066619116446873
2,6,0,39,38,-9.878462013570811
2,6,0,40,38,-6.153442918871974
2,6,0,41,38,-7.3029447809348085
2,6,0,42,38,-14.986041365637561
2,6,0,43,38,-22.6078782778593
2,6,0,44,38,-34.654733025508676
2,6,0,45,37,151.32396441940716
2,6,0,45,38,-44.66627589400832
2,7,0,22,40,-80.53565227554452
2,7,0,23,40,-58.95184918608152
2,7,0,24,39,-59.70400405095859
2,7,0,25,39,-26.773151110731305
2,7,0,26,38,-57.49364709585461
2,7,0,27,38,-56.28752886363998
2,7,0,28,38,36.91312855805381
2,7,0,29,37,-33.0550152544472
2,7,0,30,37,-14.494502850471235
2,7,0,31,37,4.352948549377288
2,7,0,32,36,-4.126053792058542
2,7,0,33,36,0.34970437597201
2,7,0,34,37,-8.754347325172489
2,7,0,35,37,-5.141905852330979
2,7,0,36,37,-16.56838461547568
2,7,0,37,37,-6.914857276666794
2,7,0,38,37,-1.1438226919177623
2,7,0,39,38,-9.815474271624566
2,7,0,40,38,-6.090372260828644
2,7,0,41,38,-7.239576079940775
2,7,0,42,38,-14.921919326653665
2,7,0,43,38,-22.54246878680908
2,7,0,44,38,-34.58791935975307
2,7,0,45,37,151.4003438635002
2,7,0,45,38,-44.599257739596965
2,8,0,22,40,-80.32184644260451
2,8,0,23,40,-58.79449800200075
2,8,0,24,39,-59.57226995334099
2,8,0,25,39,-26.660791930439245
2,8,0,26,38,-57.37681078699973
2,8,0,27,38,-56.176351701593944
2,8,0,28,38,36.957479911378755
2,8,0,29,37,-32.953767786720164
2,8,0,30,37,-14.383059702313517
2,8,0,31,37,4.4673525243216545
2,8,0,32,36,-4.020378871605089
2,8,0,33,36,0.44877406884518223
2,8,0,34,37,-8.65986634911826
2,8,0,35,37,-5.0476565498534
2,8,0,36,37,-16.474279621272103
