kper,kstp,k,i,j,CONFq
1,1,0,17,44,6.059689216867637
1,1,0,17,45,6.038952191366014
1,1,0,17,46,5.8448663449621545
1,1,0,17,47,5.743452623816884
1,1,0,17,48,5.619984216239629
1,1,0,17,49,5.5198736685667456
1,1,0,17,50,5.426986289890699
1,1,0,17,51,5.350663436408571
1,1,0,17,52,5.290172613450453
1,1,0,17,53,5.247305974987425
1,1,0,17,54,5.220817514541773
1,1,0,17,55,5.208359294644412
1,1,0,18,4,3.1366688288356173
1,1,0,18,5,3.2451780512821937
1,1,0,18,6,3.344567951699762
1,1,0,18,7,3.4575635082455065
1,1,0,18,8,3.5836122012777167
1,1,0,18,9,3.7176887053939627
1,1,0,18,10,3.85330424113533
1,1,0,18,11,3.9839929460798142
1,1,0,18,12,4.106511772778841
1,1,0,18,13,4.220769198588393
1,1,0,18,14,4.342585143805325
1,1,0,18,15,4.495576654282894
1,1,0,18,16,4.644208371678751
1,1,0,18,17,4.79454672126419
1,1,0,18,18,4.984384270855708
1,1,0,18,19,5.237819947564059
1,1,0,18,20,5.2446140099169885
1,1,0,18,21,4.950595461758057
1,1,0,18,22,4.726250931258887
1,1,0,18,23,4.546642019902302
1,1,0,18,24,4.40287166724786
1,1,0,18,25,4.290795055798217
1,1,0,18,26,4.2075803221058425
1,1,0,18,27,4.151002449160034
1,1,0,18,28,4.1198946115691175
1,1,0,18,29,4.113858551736458
1,1,0,18,30,4.132865518567462
1,1,0,18,31,4.17670893527421
1,1,0,18,32,4.244434235132527
1,1,0,18,33,4.333806238933876
1,1,0,18,34,4.440700816784572
1,1,0,18,35,4.558223476530188
1,1,0,18,36,4.67566094517089
1,1,0,18,37,4.779071654005003
1,1,0,18,38,4.857517457712479
1,1,0,18,39,4.893693162164476
1,1,0,18,40,4.831150629528757
1,1,0,18,41,5.482541342982298
1,1,0,18,42,5.948356181038829
1,1,0,18,43,5.886678491219229
1,1,0,18,44,5.845323902997201
1,1,0,18,45,5.775306474900136
1,1,0,18,46,5.652623567918738
1,1,0,18,47,5.539391097996486
1,1,0,18,48,5.426600464483309
1,1,0,18,49,5.3258167682618485
1,1,0,18,50,5.237060726101538
