kper,kstp,k,i,j,PWq
2,19,0,31,37,-4.98650044273591
2,19,0,32,36,-5.300327240263009
2,19,0,33,36,-5.511675371059418
2,19,0,34,37,-5.833156814899545
2,19,0,35,37,-5.931626050106611
2,19,0,36,37,-6.062676257095414
2,19,0,37,37,-6.205734602035503
2,19,0,38,37,-6.354825792324945
2,19,0,39,38,-6.555847894627275
2,19,0,40,38,-6.611704011672403
2,19,0,41,38,-6.6774477418265406
2,19,0,42,38,-6.737533148533352
2,19,0,43,38,-6.7853508720382285
2,19,0,44,38,-6.817021653193224
2,19,0,45,37,-6.857958461436309
2,19,0,45,38,-6.830322369352374
2,20,0,22,40,-3.3367217837246645
2,20,0,23,40,-3.3880469149197707
2,20,0,24,39,-3.558375417068668
2,20,0,25,39,-3.629516685070291
2,20,0,26,38,-3.8199794047426376
2,20,0,27,38,-3.9033947769002486
2,20,0,28,38,-3.958631141313251
2,20,0,29,37,-4.4131079672991715
2,20,0,30,37,-4.640115089268212
2,20,0,31,37,-4.7505903386343995
2,20,0,32,36,-5.051068537136231
2,20,0,33,36,-5.253690556884508
2,20,0,34,37,-5.562031532457789
2,20,0,35,37,-5.656499464517375
2,20,0,36,37,-5.782252400878464
2,20,0,37,37,-5.91955476060159
2,20,0,38,37,-6.062666496812771
2,20,0,39,38,-6.255768726530556
2,20,0,40,38,-6.309434215212012
2,20,0,41,38,-6.372628567742863
2,20,0,42,38,-6.430415620626731
2,20,0,43,38,-6.476436665550983
2,20,0,44,38,-6.506952252724959
2,20,0,45,37,-6.546311914182729
2,20,0,45,38,-6.51980630566439
2,21,0,22,40,-3.1756058773786258
2,21,0,23,40,-3.2250698291985063
2,21,0,24,39,-3.388790083469887
2,21,0,25,39,-3.4571434066635383
2,21,0,26,38,-3.640228935716694
2,21,0,27,38,-3.72060292309946
2,21,0,28,38,-3.7763212638993955
2,21,0,29,37,-4.210320094847386
2,21,0,30,37,-4.427734549944128
2,21,0,31,37,-4.533471340388904
2,21,0,32,36,-4.8211799517674505
2,21,0,33,36,-5.015416725204636
2,21,0,34,37,-5.311081583065629
2,21,0,35,37,-5.401695312065766
2,21,0,36,37,-5.52234048774978
2,21,0,37,37,-5.654086747916057
2,21,0,38,37,-5.791420243649739
2,21,0,39,38,-5.976794070311773
2,21,0,40,38,-6.028331566667548
2,21,0,41,38,-6.089043338509348
2,21,0,42,38,-6.144584918815712
2,21,0,43,38,-6.1888422691341525
2,21,0,44,38,-6.218214159838706
2,21,0,45,37,-6.256071137399493
2,21,0,45,38,-6.230614801929318
