kper,kstp,time,k,i,j,AWq
4,24,78.0,0,18,3,-1.1363421043100672
4,24,78.0,0,18,4,-1.1497385710839723
4,24,78.0,0,18,5,-1.2504753936105288
4,24,78.0,0,18,6,-1.48269510615021
4,24,78.0,0,18,7,-1.7116449802049374
4,24,78.0,0,18,8,-1.9978498687545212
4,24,78.0,0,19,0,-0.8567984297250533
4,24,78.0,0,19,1,-1.321122481374438
4,24,78.0,0,19,9,-2.0501065893406363
4,24,78.0,0,19,10,-1.95647288242224
4,24,78.0,0,19,11,-2.011624109075619
4,24,78.0,0,19,12,-2.2658273083194587
4,24,78.0,0,20,0,-1.5157553271431539
4,24,78.0,0,20,13,-2.2488347597365745
4,24,78.0,0,21,14,-2.0521147926280108
4,24,78.0,0,22,14,-1.8782339491580018
4,24,78.0,0,23,15,-1.7496895016097085
4,24,78.0,0,23,16,-1.7552301047227346
4,24,78.0,0,23,17,-2.0366999433159663
4,24,78.0,0,23,22,-3.028135227933646
4,24,78.0,0,24,18,-2.380017891599543
4,24,78.0,0,24,19,-2.4921203273664787
4,24,78.0,0,24,20,-2.825929361620858
4,24,78.0,0,24,21,-3.4797548193993393
4,25,79.0,0,0,25,-2.979033521519
4,25,79.0,0,0,26,-3.6945547114584656
4,25,79.0,0,1,24,-3.8953624206843074
4,25,79.0,0,2,22,-2.363875404987425
4,25,79.0,0,2,23,-3.6323164457691064
4,25,79.0,0,3,21,-2.1382943448869014
4,25,79.0,0,4,21,-2.7312370187954684
4,25,79.0,0,5,20,-1.850521217784916
4,25,79.0,0,6,20,-2.0055363810687084
4,25,79.0,0,7,20,-2.340327986010891
4,25,79.0,0,8,19,-1.6014590673695182
4,25,79.0,0,9,19,-1.7248845683261607
4,25,79.0,0,10,18,-1.3750526481892393
4,25,79.0,0,17,4,-0.7422337159937769
4,25,79.0,0,17,5,-0.9733918855752393
4,25,79.0,0,18,2,-1.0324498906575812
4,25,79.0,0,18,3,-1.1350943503825448
4,25,79.0,0,18,4,-1.1485732453476132
4,25,79.0,0,18,5,-1.2499886935673956
4,25,79.0,0,18,6,-1.4839819760486037
4,25,79.0,0,18,7,-1.713850766390749
4,25,79.0,0,18,8,-2.001288853027951
4,25,79.0,0,19,0,-0.8534871359572307
4,25,79.0,0,19,1,-1.3210733130360879
4,25,79.0,0,19,9,-2.053418664023212
4,25,79.0,0,19,10,-1.9591827760882552
4,25,79.0,0,19,11,-2.0146141378442692
4,25,79.0,0,19,12,-2.2700517909102373
4,25,79.0,0,20,0,-1.5158436476471877
4,25,79.0,0,20,13,-2.253826743748313
4,25,79.0,0,21,14,-2.056279725992489
4,25,79.0,0,22,14,-1.8814427123257857
4,25,79.0,0,23,15,-1.7515985409767794
4,25,79.0,0,23,16,-1.7570145890870421
4,25,79.0,0,23,17,-2.0397906626323348
4,25,79.0,0,23,22,-3.033009000886544
4,25,79.0,0,24,18,-2.3824009097757326
4,25,79.0,0,24,19,-2.4944742423674313
4,25,79.0,0,24,20,-2.828894540707523
4,25,79.0,0,24,21,-3.483860018693555
4,26,80.0,0,0,25,-2.968443816161141
4,26,80.0,0,0,26,-3.687065507226748
4,26,80.0,0,1,24,-3.8902668962318216
4,26,80.0,0,2,22,-2.353258746162112
4,26,80.0,0,2,23,-3.627969818037627
4,26,80.0,0,3,21,-2.1275316301494627
4,26,80.0,0,4,21,-2.7264869637014613
4,26,80.0,0,5,20,-1.8423975562805026
4,26,80.0,0,6,20,-2.0009506513558506
4,26,80.0,0,7,20,-2.3411622926174687
4,26,80.0,0,8,19,-1.5985686700351778
4,26,80.0,0,9,19,-1.7265750904521298
4,26,80.0,0,10,18,-1.376731037668975
4,26,80.0,0,17,4,-0.73874927003029
4,26,80.0,0,17,5,-0.9719051756885762
4,26,80.0,0,18,2,-1.0310243738618894
4,26,80.0,0,18,3,-1.1342022227086943
4,26,80.0,0,18,4,-1.1477128279626996
