kper,kstp,time,k,i,j,SPq
4,25,79.0,0,21,24,-2.5289520366533367
4,25,79.0,0,22,24,-3.1023007595159555
4,25,79.0,0,23,23,-3.492468322587726
4,26,80.0,0,12,18,-1.8490229840486023
4,26,80.0,0,12,24,-3.5006924308499947
4,26,80.0,0,12,25,-4.31483723536104
4,26,80.0,0,13,19,-1.749024689988829
4,26,80.0,0,13,23,-2.8655870853350223
4,26,80.0,0,13,26,-4.567914180315569
4,26,80.0,0,14,19,-1.9877306524658565
4,26,80.0,0,14,20,-1.9684376666180299
4,26,80.0,0,14,21,-2.153364254206764
4,26,80.0,0,14,22,-2.5289871936720516
4,26,80.0,0,14,26,-3.974372158487654
4,26,80.0,0,15,27,-4.8578427099539
4,26,80.0,0,16,27,-4.178215465601312
4,26,80.0,0,17,27,-3.9740695599464857
4,26,80.0,0,18,27,-4.210610596424857
4,26,80.0,0,19,25,-2.9667587364320838
4,26,80.0,0,19,26,-3.4874561133812847
4,26,80.0,0,20,24,-2.7070453172021587
4,26,80.0,0,21,24,-2.5329662083304925
4,26,80.0,0,22,24,-3.1068785321825843
4,26,80.0,0,23,23,-3.4972458587571325
4,27,81.0,0,12,18,-1.8523230977028078
4,27,81.0,0,12,24,-3.503113447748291
4,27,81.0,0,12,25,-4.3178378622970115
4,27,81.0,0,13,19,-1.7510203456270688
4,27,81.0,0,13,23,-2.867428474711403
4,27,81.0,0,13,26,-4.569698880430195
4,27,81.0,0,14,19,-1.9891133602018414
4,27,81.0,0,14,20,-1.9690438700206983
4,27,81.0,0,14,21,-2.1541103202939667
4,27,81.0,0,14,22,-2.5309716997876706
4,27,81.0,0,14,26,-3.974787412364975
4,27,81.0,0,15,27,-4.860804115904756
4,27,81.0,0,16,27,-4.179781401901181
4,27,81.0,0,17,27,-3.9757511911213044
4,27,81.0,0,18,27,-4.213732669263919
4,27,81.0,0,19,25,-2.970022778141157
4,27,81.0,0,19,26,-3.4900935636230344
4,27,81.0,0,20,24,-2.71042503869036
4,27,81.0,0,21,24,-2.5352559813724866
4,27,81.0,0,22,24,-3.1099161150919414
4,27,81.0,0,23,23,-3.5005230651998502
4,28,82.0,0,12,18,-1.8574543495757467
4,28,82.0,0,12,24,-3.5121318848895555
4,28,82.0,0,12,25,-4.328268076159333
4,28,82.0,0,13,19,-1.7552063178696784
4,28,82.0,0,13,23,-2.8744378969177546
4,28,82.0,0,13,26,-4.579054924718832
4,28,82.0,0,14,19,-1.992703767112161
4,28,82.0,0,14,20,-1.9725898167981768
4,28,82.0,0,14,21,-2.158512862866928
4,28,82.0,0,14,22,-2.537173364476587
4,28,82.0,0,14,26,-3.9821175493801775
