kper,kstp,time,k,i,j,SPq
2,31,32.0,0,33,33,-32.55424563624001
2,31,32.0,0,34,30,-2.668822001153565
2,31,32.0,0,34,31,-6.326125821170351
2,31,32.0,0,34,33,-14.410009408579015
2,31,32.0,0,35,33,-7.717828974022822
2,31,32.0,0,36,32,-3.0148137811907816
2,31,32.0,0,36,33,-4.245274606145131
2,31,32.0,0,37,32,-2.3624422177274162
2,32,33.0,0,33,30,-7.189745920520423
2,32,33.0,0,33,31,-11.687497065585077
2,32,33.0,0,33,32,-23.434624500331267
2,32,33.0,0,33,33,-32.74178196097381
2,32,33.0,0,34,30,-2.708857782977269
2,32,33.0,0,34,31,-6.415304907586673
2,32,33.0,0,34,33,-14.580851536066177
2,32,33.0,0,35,33,-7.844058816748969
2,32,33.0,0,36,32,-3.0674621114607987
2,32,33.0,0,36,33,-4.317439841887008
2,32,33.0,0,37,32,-2.3880746102519623
2,33,34.0,0,33,30,-7.228202739368676
2,33,34.0,0,33,31,-11.762085355945004
2,33,34.0,0,33,32,-23.530452973677257
2,33,34.0,0,33,33,-32.855824956790315
2,33,34.0,0,34,30,-2.7384983977512647
2,33,34.0,0,34,31,-6.479279282061782
2,33,34.0,0,34,33,-14.696557413720285
2,33,34.0,0,35,33,-7.9330221720713325
2,33,34.0,0,36,32,-3.1063131707938894
2,33,34.0,0,36,33,-4.369988068806805
2,33,34.0,0,37,32,-2.4072929657535447
2,34,35.0,0,33,30,-7.284479597895249
2,34,35.0,0,33,31,-11.876858383952126
2,34,35.0,0,33,32,-23.688190634450706
2,34,35.0,0,33,33,-33.05369775545785
2,34,35.0,0,34,30,-2.7811123801574524
2,34,35.0,0,34,31,-6.573829459701386
2,34,35.0,0,34,33,-14.877093587412844
2,34,35.0,0,35,33,-8.06672763246793
2,34,35.0,0,36,32,-3.1623350784252153
2,34,35.0,0,36,33,-4.446633827601644
2,34,35.0,0,37,32,-2.434632567540916
2,35,36.0,0,33,30,-7.34508861824623
2,35,36.0,0,33,31,-12.000540771895203
2,35,36.0,0,33,32,-23.85873088854902
2,35,36.0,0,33,33,-33.26842745661014
2,35,36.0,0,34,30,-2.82696999516628
2,35,36.0,0,34,31,-6.675603777087076
2,35,36.0,0,34,33,-15.071780351482118
2,35,36.0,0,35,33,-8.210731676665645
