kper,kstp,k,i,j,CONFq
1,1,0,8,30,4.0129374240164175
1,1,0,8,31,4.017067304831512
1,1,0,8,32,4.0214823864334015
1,1,0,8,33,4.026165446052843
1,1,0,8,34,4.031099813969972
1,1,0,8,35,4.036270405944945
1,1,0,8,36,4.04166467990313
1,1,0,8,37,4.047273357076158
1,1,0,8,38,4.05309077655664
1,1,0,8,39,4.059114797301113
1,1,0,8,40,4.065346242338036
1,1,0,8,41,4.071789220429563
1,1,0,8,42,4.078466876340897
1,1,0,8,43,4.085563591328212
1,1,0,8,44,4.089117325112408
1,1,0,8,45,4.092608753127072
1,1,0,8,46,4.096332877108729
1,1,0,8,47,4.100504923974247
1,1,0,8,48,4.105160193523032
1,1,0,8,49,4.110236458749565
1,1,0,8,50,4.1156214460412475
1,1,0,8,51,4.121156753906064
1,1,0,8,52,4.1269237206624325
1,1,0,8,53,4.1327605424213605
1,1,0,8,54,4.139519523078979
1,1,0,9,12,4.005601308285094
1,1,0,9,13,4.002339976779023
1,1,0,9,14,3.999741833422176
1,1,0,9,15,3.9977780601916066
1,1,0,9,16,3.9963946763207616
1,1,0,9,17,3.995527838164266
1,1,0,9,18,3.995121574265962
1,1,0,9,19,3.9951418784959625
1,1,0,9,20,3.9955687805598483
1,1,0,9,21,3.9963913313155732
1,1,0,9,22,3.9976041258292376
1,1,0,9,23,3.9992032977295935
1,1,0,9,24,4.001184333416926
1,1,0,9,25,4.003541196449028
1,1,0,9,26,4.006265851882803
1,1,0,9,27,4.0093480716862295
1,1,0,9,28,4.012775509228483
1,1,0,9,29,4.016533921950527
1,1,0,9,30,4.020607456653787
1,1,0,9,31,4.024979058010331
1,1,0,9,32,4.029631078722867
1,1,0,9,33,4.034546125601812
1,1,0,9,34,4.039708121736549
1,1,0,9,35,4.045103493977237
1,1,0,9,36,4.050722314344782
1,1,0,9,37,4.056559192376753
1,1,0,9,38,4.062613801184023
1,1,0,9,39,4.068891025753732
1,1,0,9,40,4.07539983774517
1,1,0,9,41,4.082142344649446
1,1,0,9,42,4.0890406867475715
1,1,0,9,43,4.095522569296058
