kper,kstp,time,k,i,j,PWq
2,22,23.0,0,28,38,12.340259908463736
2,22,23.0,0,29,37,-11.902657418540116
2,22,23.0,0,30,37,-6.4251151527408865
2,22,23.0,0,31,37,1.8307000211882496
2,22,23.0,0,32,36,-5.771768392570607
2,22,23.0,0,33,36,-2.318543967910273
2,22,23.0,0,34,37,-5.133663804742582
2,22,23.0,0,35,37,-2.54989480724646
2,22,23.0,0,36,37,-5.320854849497778
2,22,23.0,0,37,37,-5.184252322249677
2,22,23.0,0,38,37,-8.437043938032616
2,22,23.0,0,39,38,-4.345361746256799
2,22,23.0,0,40,38,-5.597546457356543
2,22,23.0,0,41,38,-6.503799026347906
2,22,23.0,0,42,38,-7.210969487915349
2,22,23.0,0,43,38,-7.282773431967371
2,22,23.0,0,44,38,-7.138934329095491
2,22,23.0,0,45,37,-4.2782644892390636
2,22,23.0,0,45,38,-6.069562112249173
2,23,24.0,0,22,40,-8.65384417913242
2,23,24.0,0,23,40,-8.57620624136382
2,23,24.0,0,24,39,-8.55772390364018
2,23,24.0,0,25,39,-1.9771570589563225
2,23,24.0,0,26,38,-2.0456385970237534
2,23,24.0,0,27,38,-18.901514052565744
2,23,24.0,0,28,38,12.348472886139007
2,23,24.0,0,29,37,-11.882660557693157
2,23,24.0,0,30,37,-6.3841884386579295
2,23,24.0,0,31,37,1.8874505570837528
2,23,24.0,0,32,36,-5.720761683653109
2,23,24.0,0,33,36,-2.267629942111057
2,23,24.0,0,34,37,-5.070670343848292
2,23,24.0,0,35,37,-2.4762775092522133
2,23,24.0,0,36,37,-5.2465673621513815
2,23,24.0,0,37,37,-5.110009206068867
2,23,24.0,0,38,37,-8.364886727756357
2,23,24.0,0,39,38,-4.269119339631175
2,23,24.0,0,40,38,-5.521360338304248
2,23,24.0,0,41,38,-6.427614389576547
2,23,24.0,0,42,38,-7.134785180276253
2,23,24.0,0,43,38,-7.206587816905767
2,23,24.0,0,44,38,-7.0626846675515935
2,23,24.0,0,45,37,-4.203721142755967
2,23,24.0,0,45,38,-5.991671767282014
2,24,25.0,0,22,40,-8.540187226433886
2,24,25.0,0,23,40,-8.462608802978139
2,24,25.0,0,24,39,-8.444133327365194
2,24,25.0,0,25,39,-1.906706103949432
2,24,25.0,0,26,38,-1.9751938908707416
2,24,25.0,0,27,38,-18.857804070907378
2,24,25.0,0,28,38,12.353299169317438
2,24,25.0,0,29,37,-11.866324736830506
2,24,25.0,0,30,37,-6.34919978748394
2,24,25.0,0,31,37,1.9373940441068953
2,24,25.0,0,32,36,-5.674514797308461
2,24,25.0,0,33,36,-2.2212283173635115
2,24,25.0,0,34,37,-5.013649397765448
2,24,25.0,0,35,37,-2.4100073980753223
2,24,25.0,0,36,37,-5.17965690369374
2,24,25.0,0,37,37,-5.0431439510275595
2,24,25.0,0,38,37,-8.300019284957557
2,24,25.0,0,39,38,-4.2003241477750635
2,24,25.0,0,40,38,-5.452624919008372
2,24,25.0,0,41,38,-6.358880590103354
2,24,25.0,0,42,38,-7.066051677796963
2,24,25.0,0,43,38,-7.137852888276484
2,24,25.0,0,44,38,-6.993882651197509
2,24,25.0,0,45,37,-4.136566339884212
2,24,25.0,0,45,38,-5.921291296455934
2,25,26.0,0,22,40,-8.432871476805985
2,25,26.0,0,23,40,-8.355355329442546
2,25,26.0,0,24,39,-8.336886233311475
2,25,26.0,0,25,39,-1.8430386932280953
2,25,26.0,0,26,38,-1.911532365374569
2,25,26.0,0,27,38,-18.819522910814726
2,25,26.0,0,28,38,12.356812739763086
2,25,26.0,0,29,37,-11.852485797793634
2,25,26.0,0,30,37,-6.318992765661733
2,25,26.0,0,31,37,1.9814983254568688
2,25,26.0,0,32,36,-5.632351436142812
2,25,26.0,0,33,36,-2.178652207098594
2,25,26.0,0,34,37,-4.961900198784974
2,25,26.0,0,35,37,-2.350341816025548
2,25,26.0,0,36,37,-5.119387182422429
2,25,26.0,0,37,37,-4.982920051254155
2,25,26.0,0,38,37,-8.241699257482765
2,25,26.0,0,39,38,-4.1382463171632935
2,25,26.0,0,40,38,-5.390610145582741
2,25,26.0,0,41,38,-6.29686758143589
2,25,26.0,0,42,38,-7.004038937355972
2,25,26.0,0,43,38,-7.075838598426117
2,25,26.0,0,44,38,-6.93179853058416
2,25,26.0,0,45,37,-4.07606493684284
2,25,26.0,0,45,38,-5.857696061963225
2,26,27.0,0,22,40,-8.34935715253539
2,26,27.0,0,23,40,-8.27190565160356
2,26,27.0,0,24,39,-8.253442438065235
2,26,27.0,0,25,39,-1.8035755618908524
2,26,27.0,0,26,38,-1.872074694455705
2,26,27.0,0,27,38,-18.80338575547819
2,26,27.0,0,28,38,12.352104278968113
2,26,27.0,0,29,37,-11.854616569240648
2,26,27.0,0,30,37,-6.3093297230655025
2,26,27.0,0,31,37,2.0029050051466584
2,26,27.0,0,32,36,-5.611887370013733
2,26,27.0,0,33,36,-2.157506961887293
2,26,27.0,0,34,37,-4.932947903054469
2,26,27.0,0,35,37,-2.3146948950413844
2,26,27.0,0,36,37,-5.083177258496107
